program	fiscal_year	measure	value	denominator	precision	source	quote
jon-peterson	2019	payments	64400000	unstated	about	hb166-greenbook	amounting to about $64.4 million
jon-peterson	2019	providers	413	unstated	exact	hb166-greenbook	In FY 2019, 413 providers were registered to participate
traditional-edchoice	2019	participation	23000	students	about	hb166-greenbook	In FY 2019, about 23,000 students received scholarships
traditional-edchoice	2019	payments	113400000	unstated	about	hb166-greenbook	amounting to about $113.4 million
nonpublic-sector	2023	schools	714	operating	exact	hb33-greenbook	In FY 2023, 714 chartered nonpublic schools operated in Ohio
autism	2024	participation	4600	students	about	dew-redbook	about 4,600 students received scholarships
autism	2024	payments	136500000	unstated	about	dew-redbook	amounting to about $136.5 million
autism	2024	providers	311	unstated	exact	dew-redbook	from 311 providers
cleveland	2024	participation	7800	students	about	dew-redbook	about 7,800 students participated in the program
cleveland	2024	payments	53400000	unstated	exact	dew-redbook	with scholarships totaling $53.4 million
cleveland	2024	schools	84	unstated	exact	dew-redbook	84 participating schools
edchoice-expansion	2024	participation	87000	fte	about	dew-redbook	about 87,000 FTE students received EdChoice Expansion scholarships
edchoice-expansion	2024	payments	405300000	unstated	exact	dew-redbook	totaling $405.3 million
edchoice-expansion	2024	schools	585	unstated	exact	dew-redbook	to attend 585 chartered nonpublic schools
jon-peterson	2024	participation	7800	students	about	dew-redbook	about 7,800 students received scholarships
jon-peterson	2024	payments	95400000	unstated	about	dew-redbook	amounting to about $95.4 million
jon-peterson	2024	providers	454	unstated	exact	dew-redbook	from 454 providers
traditional-edchoice	2024	participation	40300	fte	about	dew-redbook	about 40,300 FTE students received scholarships
traditional-edchoice	2024	payments	272300000	unstated	about	dew-redbook	amounting to about $272.3 million
traditional-edchoice	2024	schools	527	unstated	exact	dew-redbook	to attend 527 chartered nonpublic schools
autism	2025	payments	150700000	unstated	estimated	dew-redbook-table-5	Autism $150.7 $161.4 $172.8
channel	2025	payments	1074400000	unstated	estimated	dew-redbook-table-5	Total $1,074.4 $1,163.0 $1,251.1
cleveland	2025	payments	54400000	unstated	estimated	dew-redbook-table-5	Cleveland $54.4 $56.6 $58.9
edchoice-expansion	2025	payments	475400000	unstated	estimated	dew-redbook-table-5	EdChoice expansion $475.4 $521.2 $563.5
jon-peterson	2025	payments	101100000	unstated	estimated	dew-redbook-table-5	Jon Peterson Special Needs $101.1 $107.3 $113.7
nonpublic-sector	2025	schools	725	operating	exact	dew-greenbook	In FY 2025, 725 chartered nonpublic schools operated in Ohio
traditional-edchoice	2025	payments	292700000	unstated	estimated	dew-redbook-table-5	Traditional EdChoice $292.7 $316.5 $342.2
autism	2026	payments	161400000	unstated	estimated	dew-redbook-table-5	Autism $150.7 $161.4 $172.8
channel	2026	payments	1163000000	unstated	estimated	dew-redbook-table-5	Total $1,074.4 $1,163.0 $1,251.1
cleveland	2026	payments	56600000	unstated	estimated	dew-redbook-table-5	Cleveland $54.4 $56.6 $58.9
edchoice-expansion	2026	payments	521200000	unstated	estimated	dew-redbook-table-5	EdChoice expansion $475.4 $521.2 $563.5
jon-peterson	2026	payments	107300000	unstated	estimated	dew-redbook-table-5	Jon Peterson Special Needs $101.1 $107.3 $113.7
traditional-edchoice	2026	payments	316500000	unstated	estimated	dew-redbook-table-5	Traditional EdChoice $292.7 $316.5 $342.2
autism	2027	payments	172800000	unstated	estimated	dew-redbook-table-5	Autism $150.7 $161.4 $172.8
channel	2027	payments	1251100000	unstated	estimated	dew-redbook-table-5	Total $1,074.4 $1,163.0 $1,251.1
cleveland	2027	payments	58900000	unstated	estimated	dew-redbook-table-5	Cleveland $54.4 $56.6 $58.9
edchoice-expansion	2027	payments	563500000	unstated	estimated	dew-redbook-table-5	EdChoice expansion $475.4 $521.2 $563.5
jon-peterson	2027	payments	113700000	unstated	estimated	dew-redbook-table-5	Jon Peterson Special Needs $101.1 $107.3 $113.7
traditional-edchoice	2027	payments	342200000	unstated	estimated	dew-redbook-table-5	Traditional EdChoice $292.7 $316.5 $342.2
